OBJECTID,Tree_Name,Area,Diameter,Height,Tree_ID,Date_Planted,Lat,Long
284,Hornbeam,Yard,12,22,"9,654",,42.375064054009243,-71.115821770414883
285,Sycamore Maple,Yard,10,26,"9,655",,42.375395847153051,-71.115658881698607
286,Flowering Dogwood,Yard,8,14,"9,656",,42.373371528593459,-71.117856875265900
287,American Sycamore Buttonwood,Yard,10,30,"9,657",,42.373613098498524,-71.118167077780470
288,American Sycamore Buttonwood,Yard,10,30,"9,658",,42.373668951987021,-71.118152383033930
289,American Sycamore Buttonwood,Yard,10,30,"9,659",,42.373691434343101,-71.118194559858239
290,Cornelian Cherry,Yard,14,16,"9,660",,42.373587022370309,-71.117932453017971
291,Northern Red Oak,Yard,18,40,"9,661",,42.373307573825521,-71.117660341727941
292,Pin Oak,Yard,14,30,"9,662",,42.373616631029591,-71.117365306608960
293,Cornelian Cherry,Yard,6,6,"9,663",,42.373540337411413,-71.117575152293426
294,American Elm,Yard,35,55,"9,664",,42.373856979859227,-71.117980969908558
295,Northern Red Oak,Yard,12,32,"9,665",,42.373795740028164,-71.117834402094829
296,Northern Red Oak,Yard,38,55,"9,666",,42.373765871198465,-71.117518530456621
297,Kentucky Coffeetree,Yard,5,20,"9,667",,42.373950993558744,-71.116731275924522
298,Eastern White Pine,Yard,20,40,"9,668",,42.373827314366601,-71.117602914099464
299,Kousa Dogwood,Yard,5,10,"9,669",,42.374174488113461,-71.117140004076091
300,Kousa Dogwood,Yard,5,12,"9,670",,42.374126689832899,-71.117019806995046
301,Northern Red Oak,Yard,18,55,"9,671",,42.374066373119682,-71.117327285901951
302,Scarlet Oak,Yard,7,22,"9,672",,42.373899880913257,-71.117356545873662
303,Scarlet Oak,Yard,7,22,"9,673",,42.373828054618720,-71.117377447722191
304,Flowering Dogwood,Yard,6,12,"9,674",,42.373692501102219,-71.117131377514397
305,Kousa Dogwood,Yard,6,12,"9,675",,42.374136659105261,-71.117124328571180
306,Kousa Dogwood,Yard,6,12,"9,676",,42.374172545225647,-71.117112121313141
307,Kentucky Coffeetree,Yard,5,18,"9,677",,42.374011328372184,-71.116840320803448
308,Kentucky Coffeetree,Yard,5,18,"9,678",,42.373934675943282,-71.116856416459825
309,Kentucky Coffeetree,Yard,5,18,"9,679",,42.373852614825452,-71.116883932559716
310,American Elm,Yard,26,42,"9,680",,42.373758651145529,-71.116917969141625
311,Pin Oak,Yard,10,35,"9,681",,42.374268263679973,-71.116870181091841
312,Hedge Maple,Yard,11,16,"9,682",,42.375073424413252,-71.115094406828732
313,Hedge Maple,Yard,8,17,"9,683",,42.375046391398783,-71.115051305947844
314,Maple,Yard,14,40,"9,684",,42.375015203861935,-71.115002647528826
315,White Ash,Yard,28,45,"9,685",,42.374956415985892,-71.114896882491252
316,Ohio Buckeye,Yard,13,30,"9,686",,42.373420678123381,-71.118314151578986
317,American Sweetgum,Yard,4,20,"9,687",,42.374309930597626,-71.117687647734598
318,American Elm,Yard,36,52,"9,688",,42.374034619765148,-71.117437352396081
319,American Elm,Yard,22,38,"9,689",,42.373949653882697,-71.117632392751688
320,American Elm,Yard,3,15,"9,690",,42.373941317348930,-71.117466429211092
321,Scarlet Oak,Yard,7,25,"9,691",,42.374131776548197,-71.117404834269848
322,Ohio Buckeye,Yard,13,30,"9,692",,42.373396513617095,-71.118377114562193
323,Ohio Buckeye,Yard,14,50,"9,693",,42.373864855433602,-71.118718211271386
324,Black Tupelo Or Black Gum,Yard,6,20,"9,694",,42.374113013575084,-71.117751427692369
325,American Sweetgum,Yard,9,35,"9,695",,42.374166199897054,-71.117570823901005
326,American Elm,Yard,25,38,"9,696",,42.374243599134154,-71.117543469094045
327,Larch,Yard,3,12,"9,697",,42.375140761831425,-71.118041947323846
328,Larch,Yard,4,12,"9,698",,42.375158502192846,-71.117923283574001
329,Larch,Yard,3,8,"9,699",,42.374948455870403,-71.118058532638443
330,Unknown Species,Yard,13,30,"9,700",,42.374996947499049,-71.118331568150253
331,Honeylocust,Yard,5,22,"9,701",,42.375060369140741,-71.118260276423825
332,Goldrain Tree,Yard,3,12,"9,702",,42.375090025179404,-71.118431708168387
333,Northern Catalpa,Yard,5,16,"9,703",,42.375269855924614,-71.118376035235002
334,Common Hackberry,Yard,7,30,"9,704",,42.374780647192622,-71.117843780933498
335,White Ash,Yard,24,48,"9,705",,42.374071777645668,-71.115493309452191
336,Red Maple,Yard,3,12,"9,706",,42.374125654676774,-71.115377899756950
337,White Oak,Yard,48,65,"9,707",,42.374059409132180,-71.115335655914436
338,Hornbeam,Yard,10,28,"9,708",,42.375196704296343,-71.118198340509849
339,Kousa Dogwood,Yard,5,12,"9,709",,42.375197704786906,-71.118103495925524
340,Northern Red Oak,Yard,32,60,"9,710",,42.374997262244456,-71.117624168478812
341,Japanese Pagoda Tree,Yard,10,30,"9,711",,42.375705284852806,-71.117569045173880
342,Crabapple,Yard,13,30,"9,712",,42.375645428807999,-71.117725408336639
343,Crabapple,Yard,18,15,"9,713",,42.375607427525615,-71.117727488485485
344,Japanese Pagoda Tree,Yard,12,35,"9,714",,42.375583022783339,-71.117646268479731
345,Northern Red Oak,Yard,16,36,"9,715",,42.373913946211218,-71.116064243139547
346,American Elm,Yard,34,48,"9,716",,42.375387433984820,-71.117498325191931
347,Northern Red Oak,Yard,32,55,"9,717",,42.375243274240901,-71.117534356627402
348,Northern Red Oak,Yard,8,26,"9,718",,42.375085478767410,-71.117552783167511
349,English Oak,Yard,15,35,"9,719",,42.374679521457672,-71.118123435381179
350,Red Oak,Yard,4,15,"9,995",9/15/2014 0:00:00,42.374631087463861,-71.118538988178543
351,Amur Lilac,Yard,14,15,"9,721",,42.375686107046555,-71.117741333264206
352,White Ash,Yard,29,45,"9,722",,42.375802837030420,-71.117637865544864
353,Black Walnut,Yard,26,50,"9,723",,42.374684843665371,-71.115410689103641
354,Dawn-Redwood,Yard,4,10,"9,724",,42.374838245243630,-71.115411592117383
355,English Elm,Yard,38,60,"9,725",,42.374866961646404,-71.117666225430014
356,Common Hackberry,Yard,4,14,"9,726",,42.373993228955662,-71.115547791060521
357,Yellow-Poplar Or Tuliptree,Yard,4,14,"9,727",,42.374514412364249,-71.117954078607525
358,American Elm,Yard,42,50,"9,728",,42.375171317759786,-71.117415120517009
359,Honeylocust,Yard,23,58,"9,729",,42.374436113785933,-71.117982287174812
360,Sugar Maple,Yard,10,25,"9,730",,42.374962791238943,-71.117494177751936
361,English Elm,Yard,28,55,"9,731",,42.374735121862706,-71.117649325650419
362,Black Oak,Yard,14,36,"9,732",,42.374780590528864,-71.117544999570583
363,Japanese Pagoda Tree,Yard,5,15,"9,733",,42.374911321059336,-71.117573779437308
364,Honeylocust,Yard,7,15,"9,734",,42.375377599713175,-71.117360122379750
365,Honeylocust,Yard,8,18,"9,735",,42.375356925900206,-71.117200830196751
366,Honeylocust,Yard,8,18,"9,736",,42.375327420413669,-71.117029739787569
367,European Beech,Yard,11,21,"9,737",,42.375166562156338,-71.115966283131186
368,English Elm,Yard,43,65,"9,738",,42.374498732962543,-71.117773839047331
369,Black Walnut,Yard,13,25,"9,739",,42.375655461288822,-71.116926127889911
370,Catalpa,Yard,19,32,"9,740",,42.375642266629001,-71.116830134961361
371,Northern Red Oak,Yard,34,65,"9,741",,42.375533773256628,-71.116792258305566
372,Northern Red Oak,Yard,30,50,"9,742",,42.375522744402573,-71.116714589369948
373,Beech,Yard,2,8,"9,743",,42.375435012985662,-71.116923628727079
374,Ginkgo,Yard,5,22,"9,744",,42.375427318659852,-71.116470905449248
375,Hornbeam,Yard,10,17,"9,745",,42.375128330985127,-71.116159781348003
376,Kentucky Coffeetree,Yard,5,15,"9,746",,42.375148429444124,-71.116344262197273
377,Saucer Magnolia,Yard,5,15,"9,748",,42.373839404096046,-71.118325020503192
378,Eastern White Pine,Yard,11,25,"9,749",,42.375310768445914,-71.117308017442596
379,Ohio Buckeye,Yard,9,14,"9,750",,42.375247555442513,-71.117251326545485
380,Honeylocust,Yard,28,65,"9,751",,42.374591103296652,-71.117552073108740
381,American Elm,Yard,29,45,"9,752",,42.374661243400190,-71.116831582443254
382,Northern Red Oak,Yard,5,20,"9,753",,42.374993086635868,-71.117004404907235
383,Northern Red Oak,Yard,4,18,"9,754",,42.375086023116076,-71.116972268155550
384,Japanese Pagoda Tree,Yard,8,25,"9,755",,42.375753086441421,-71.117440733638631
385,Japanese Pagoda Tree,Yard,10,35,"9,756",,42.375681577583720,-71.117459897768143
386,Japanese Pagoda Tree,Yard,12,35,"9,757",,42.375703313347465,-71.117351681200304
387,Northern Red Oak,Yard,15,45,"9,758",,42.375655004633821,-71.117301231803395
388,English Elm,Yard,36,55,"9,759",,42.375632644479055,-71.117182508486081
389,Norway Maple,Yard,14,40,"9,760",,42.375615708575751,-71.117069243046259
390,Catalpa,Yard,16,32,"9,761",,42.375602166283606,-71.116619671990975
391,Yellow-Poplar Or Tuliptree,Yard,9,30,"9,763",,42.374711789822676,-71.118262970537558
392,Japanese Pagoda Tree,Yard,4,12,"9,764",,42.375614026710686,-71.117577728546692
393,American Elm,Yard,15,42,"9,765",,42.375782147366444,-71.117785441724337
394,Amur Lilac,Yard,8,10,"9,766",,42.375701970705151,-71.117770249648629
395,Crabapple,Yard,9,16,"9,767",,42.374944787556466,-71.118189897661495
396,Goldrain Tree,Yard,3,12,"9,768",,42.375135733218372,-71.118418321505175
397,Flowering Dogwood,Yard,8,14,"9,769",,42.374382845354049,-71.118082483898348
398,Cornelian Cherry,Yard,5,6,"9,770",,42.373803717819747,-71.118558473218471
399,English Elm,Yard,23,42,"9,771",,42.373209930482410,-71.117709017584019
400,Japanese Tree Lilac,Yard,10,20,"9,772",,42.375608301226706,-71.117486571478082
401,Saucer Magnolia,Yard,5,6,"9,773",,42.373813651228723,-71.118165437153394
402,American Sycamore Buttonwood,Yard,10,30,"9,774",,42.373764752934640,-71.118227208230067
403,American Sycamore Buttonwood,Yard,10,30,"9,775",,42.373548410162201,-71.118205806828882
404,Larch,Yard,0,0,"9,776",,42.374959505333194,-71.117986223852739
405,Dawn-Redwood,Yard,0,0,"9,777",,42.374824057212869,-71.115267685105664
406,Hackberry,Yard,10,40,"9,778",,42.375431827409507,-71.116639751773349
407,Birch,Yard,6,16,"9,779",,42.373165730844057,-71.117576792121994
408,Elm,Yard,7,18,"9,780",,42.374625987438229,-71.117756825361212
409,Elm,Yard,7,18,"9,781",,42.374555836046923,-71.117330233739693
410,Spruce,Yard,0,0,"9,782",,42.374853426879589,-71.116601842973907
411,Magnolia,Yard,0,0,"9,783",,42.373554025999823,-71.117361474642692
412,Red Horsechestnut,Yard,0,0,"9,784",,42.373322304446134,-71.118241025015877
413,Magnolia,Yard,0,0,"9,785",,42.373676508474169,-71.118408074051032
414,Magnolia,Yard,0,0,"9,786",,42.373613057748997,-71.118351484518698
415,Northern Red Oak,Yard,5,14,"9,787",,42.374571583960744,-71.118239613234877
416,Northern Red Oak,Yard,5,12,"9,788",,42.374554473651408,-71.118117976235993
417,Northern Red Oak,Yard,6,15,"9,789",,42.374727034116397,-71.118386907882197
418,Hackberry,Yard,5,14,"9,790",,42.374587113948358,-71.118358478135221
419,Pin Oak,Yard,5,12,"9,791",,42.374647330647115,-71.117918118887360
420,Redbud,Yard,0,0,"9,792",,42.374902807970670,-71.118014642083537
421,American Elm,Yard,7,18,"9,793",,42.374674365897427,-71.117400670373684
422,Ohio Buckeye,Yard,5,15,"9,794",,42.375044571293202,-71.117122892361238
423,Birch,Yard,0,0,"9,795",,42.375149900449301,-71.116506514887320
424,Gingko,Yard,3,9,"9,996",5/1/2014 0:00:00,42.375237543319464,-71.116531150132957
425,Red Maple,Yard,5,14,"9,797",,42.374539946532863,-71.116797331799376
426,Redbud,Yard,0,0,"9,798",,42.375042268164982,-71.117966344176494
427,Smoke Bush,Yard,0,0,"9,799",,42.373493111601256,-71.117965978842562
428,Catalpa,Yard,0,0,"9,800",,42.373191720979165,-71.117838153910427
429,Pin Oak,Yard,6,20,"9,801",,42.373958064457369,-71.117794158488337
430,Red Oak,Yard,4,15,"9,997",9/15/2014 0:00:00,42.374716987133510,-71.118513723696012
431,Japanese Tree Lilac,Yard,0,0,"9,803",,42.374927339831373,-71.118142095820659
432,Elm Tree,Yard,0,0,"9,804",,42.375483450869957,-71.118082462180794
433,Zelkova,Yard,5,12,"9,805",,42.375129652630399,-71.117085828754341
434,Red Maple,Yard,8,25,"9,806",,42.374377279115905,-71.116827743113021
